ext.,description,used by,icon
MKA, Matroska audio video container format., Matroska audio format converter.,video
MKV, Open standard video container format., Use MKV with Matroska player.,video
MM, Mediblob++ is a C/C++ debugger., Emacs with MM Source Mode.,/
MML, Mathematical Markup Language format., Use MML with MathML rendering.,/
MNT, Geospatial Map Representation Format Extension., Use MNT extension for 3D modeling.,map
MO, Modelica model file format., Use MO with Modelica models.,/
MOBI, Digital book format specification standard., Use with eReaders and eBooks.,book
MOD, Ampl Model File Extension., Use MOD for AMPL modeling.,/
MOD, Modula-2 programming language extension., Use Modula-3 compiler extension.,modula
MOD, Clarion MOD file format specification., Use MOD for Modula-2 development.,/
MOD, Format used by Ultimate Soundtracker., Use MOD extension with Amiga tracker.,/
MOD, Digital tapeless camera file format., Use with tapeless digital cameras.,/
MODULES, GTK+ UI Module System Extension., GTK+ GUI Development Framework.,/
MOE, Model Exchange File Format., Use MOE with COMSOL.,/
MOL, Open-source molecular file format., Use for molecular visualization purposes.,/
MOL2, Tripsy file format for chemical structure., Use with RasMol for visualization.,/
MOP, MOPAC is a computational chemistry software package., Use MOP for Quantum Chemistry.,/
MOV, An animation file format used., Use with QuickTime Player or Mac.,video
MP2, MPEG Audio Layer 2 codec., Use MP2 for music playback.,audio
MP3, Audio file format (MPEG-3) compression., Use MP3 with Winamp media player.,audio
MP4, Multimedia file container format., Use MP4 for video playback.,video
MPA, Lossy audio file format standard., Use MPA for audio encoding.,audio
MPC, Lossless audio compression format., Play Musepack audio files online.,audio
MPD, MPCD: LDraw Multi-Part Data File Extension., Use MPD with LDraw models.,/
MPEG, Digital multimedia container format standard., Use with multimedia content files.,video
MPG, MPEG Audio Layer 3 compression., Use with video encoding software.,video
MPS, Mathematical Programming System Format., Use MPS for Linear Programming.,/
MSC, Microsoft Management Console (MMC) extension., Use MSC for management consoles.,/
MSAV, Mini-map file format specification., Use MSAV for MineSweeper maps.,map
MSDL, Language for describing MUSE scenes., Use MSDL for Manchester scene modeling.,/
MSF, Multiple Sequence Format specification., Use MSF for Multiple Sequence Alignment.,/
MSI, Windows Installer Package Files (.msi), Use MSI for Windows Installers.,msi
MSO, Metadata storage for Microsoft attachments., MSO Standalone add-in for Microsoft Word.,/
MSSTYLES, Stores Microsoft Windows visual styles., Use MSSTYLES for theme changes.,/
MSU, Windows update package installer., Use MSU for Microsoft updates.,/
MTS, MPEG Transport Stream (video format)., Use with Media Center Software.,video
MX, Wolfram Language serialized package format., Use with Mathematica Wolfram Language.,/
MXF, Material Exchange Format standard., Use MXF for media asset exchange.,/
MYD, MyISAM data file format., Use MYD for spatial indexing.,/
MYI, Database index file format., Use on MySQL tables.,database
MR, Mission: Revenant engine simulator extension., MRO (Method Resolution Order) in Python.,/
NB, Extension for Wolfram Mathematica notebook., Use in Wolfram Mathematica Notebook.,mathematica
NC, NetCDF Binary data format extension., NetCDF C library for data processing.,/
NC, Camber and Runout measurement tool., Use in CNC machining processes.,/
NC, National Center for Biotechnology Information., Use NC for numerical control.,/
NCD, Standard for printed circuit holes., Use with Excellon format files.,/
NDK, Standardized seismic event data format., Seismologist's seismic data storage format.,/
NDS, File format for Nintendo DS., NDS Shell for Nintendo DS Emulation.,nintendo
NEF, Nikon RAW image file format., Use NEF with Nikon cameras.,image
NET, The NET extension represents a graph data format, specifically designed for the Pajek network analysis software and commonly used as an exchange format for graphs.,/
NEU, Neutral data exchange format standard., Use NEU with Pro/E Software.,/
NEX, phylogenetic file format extension NEX., Use NEX with Nexus software.,/
NF, NC Milling Machine Instruction Manual, Use NF with TRUMPF machines.,/
NFO, Information file for media metadata., Use NFO with media players.,/
NIM, Nim compiler front-end development tool., Use Nim compiler for Nim programming language.,/
NMF, Software for Non-negative Matrix Factorization., Non-negative Matrix Factorization (NMF) algorithm.,/
NOFF, NoOFF: 3D Object File Format., Use NOFF for 3D model files.,3d
NPR, Audio file format from Steinberg., Use in Steinberg Nuendo environment.,audio
NRO, Nintendo Switch Executable Format File., Use NRO for Nintendo Switch mods.,nintendo
NRW, RAW image editor for Nikon., Use with Nikon Coolpix RAW.,/
NRX, NetRexx Scripting Language Extension., Use NetRexx for scripting purposes.,/
NS1, NetStumbler wireless network scanner software., Use NS1 for DNS lookups.,/
NSF, NES Sound Format files., NES Music Format Converter Extension.,audio
NSV, Nullsoft Streaming Video (NSV) extension., Use NSV for Nullsoft Streaming.,/
NUMBERS, Apple's spreadsheet application program., Use Numbers for spreadsheet tasks.,/
"NWD, NWF", Autodesk Navisworks drawing file format., Use Navisworks for BIM collaboration.,/
NXS, File format for phylogenetic trees., Use Nexus for phylogenetic analysis.,/
O, Atari Object File Extension., Use in GCC compiler options.,c
OBJ, Object file format for assembly., Use with 3D modeling software.,3d
OBJ, Intel Object File Format Module., Use with Intel C/C++ compilers.,cpp
OBJ, 3D model file format standard., Use with Blender for 3D modeling.,3d
OBS, Open Broadcasting Software is used., Screen recording and live streaming software.,/
OCX, ActiveX Control Extension Component., Use OCX for OLE Controls.,/
ODB, ODB is an OpenDocument database file format used by LibreOffice., Use ODB with LibreOffice.,database
ODF, OpenDocument Format for LibreOffice., Use LibreOffice Writer for ODF.,word
ODG, OpenDocument Graphics Drawing Extension., Use ODG for Vector Graphics.,image
ODP, OpenDocument Presentation Format Specification., Use ODP for LibreOffice presentations.,ppt
ODS, OpenDocument Spreadsheet Format Standard., Use ODS for LibreOffice collaboration.,/
ODT, OpenDocument text document format extension., Use LibreOffice for ODT document editing.,text
OFF, Standard format for 3D models., Storing and exchanging 3D models.,3d
OGA, Ogg Audio File Container Format., Use OGA with VLC Media Player.,audio
OGG, Vorbis audio file format., Use with Vorbis audio codec.,audio
OGV, Ogg Video file container format., Use with FFmpeg for video processing.,video
OGX, Ogg Multiplexing Audio Profile Extension., Use with OGG audio files.,audio
OPUS, Open-Source Unified Speech Platform Format., Use OPUS for audio playback.,audio
ORG, Emacs Org Mode Document Editor., Use Org mode in Emacs.,/
ORG, Older Microsoft Office document format., Use with older projects versions.,/
OSC, OpenStreetMap changeset file format., Use with OpenStreetMap editor tools.,map
OSK, Osu! TAP Input Manager Extension, Typing input in Japanese keyboard.,/
OSM, OpenStreetMap map overlay plugin., Use OSM for mapping projects.,map
OSM, OpenStreetMap map editing tool., Using OSM browser for OpenStreetMap editing.,map
OST, File format for Microsoft email., Use with Microsoft Outlook 2007.,email
OSZ, Osu! Beatmap Extension Format file., Osu! Beatmap editor software.,osu
OTB, Over-the-air bitmap graphics editor., Use OTB for Over-the-Air Graphics.,image
OTF, OpenType font file format., Use OTF for OpenType fonts.,font
OTL, Vim plugin for outliner functionality., Vim Outliner (OTL) plugin usage.,/
OTF, OpenDocument Text File Format Extension., Use OTF in LibreOffice.,text
OTG, OpenDocument Format for drawings templates., Use OTG with LibreOffice Online.,image
OTP, OpenDocument Presentation Template Format Extension., Use in LibreOffice Writer.,/
OTS, OpenDocument Spreadsheet Template Format., Use LibreOffice for OpenDocument files.,excel
OTT, OpenDocument Text Document Template Format., Use LibreOffice Writer for OTT.,font
OV2, File format for TomTom POIs., Use OV2 with TomTom software.,/
OWL, Description: Semantic Web Ontology Language., Use OWL for ontology creation.,/
OXT, OpenOffice and LibreOffice extension., Use OXT for OpenOffice extensions.,/
P, Progress Database Extension for PowerBuilder., Use it for legacy PRO/STEP databases.,/
P, Pascal Program Editor extension., Use PASCAL for source coding.,/
P, Program analysis tool, source inspection.,/
P8, P8 is Pico-8's Game Format., Use PICO-8 Game Creator.,/
P10, Microsoft Exchange Certificate Request Extension., Use in Adobe Acrobat Reader.,/
P12, Exchange of Personal Identity Documents., Use P12 for certificate exchange.,/
PACK, Java Archive (JAR) file format., Use PACK for Java Packaging.,java
PAGES, Apple Pages document editing software., Use Pages for PDF editing.,word
PAK, Pak file archive format., Use PAK on compressed archives.,archive
PAL, File format for graphics editing., Use PAL with image editing.,image
PAM, Portable Arbitrary Map graphics format., Use PAM for image processing.,image
PAPA, PAPA extension for Flipline Studio., Use PAPA with Flipline games.,/
PAR, Linux file system archive format., Binary data verification and correction.,archive
PAR2, Open-source checksum file verification tool., Recovering corrupted compressed file archives.,/
PARAMS, MXNet net representation format., MXNet Net Representation Format Extension,/
PAS, Pascal Source Code Extension File., Use PAS in Borland IDE.,/
PAX, Compression and encryption utility software., Use PAX with GNU Tar.,/
PBLIB, PowerBASIC library for Power Users., Use for PowerBasic programming needs.,/
PBM, Portable BitMap (ASCII) Format., Use PBM for monochrome rasters images.,/
PBO, Bohemia Interactive Package Archive File., Use PBO in Arma 3 game.,/
PCAP, Captured network packet capture format., Use PCAP for network packet capture analysis.,/
PCL, Printer Command Language (PCL) format., Use with HP printers only.,/
PCS, File format for land survey data., Use for PC survey and mapping.,/
PCX, Paintbrush graphics editor file format., Use with PC Paintbrush software.,paintbrush
PDB, Debugging data file for Windows., Use PDB with Visual Studio debugging.,/
PDB, Repository for three-dimensional protein structures., Use PDB for protein structure analysis.,/
PDE, Processing Development Environment Extension., Use PDE in Processing IDE.,/
PDF, Standard file format for documents., Use PDF for viewing documents.,pdf
PDI, Portable Database Interchange format., Use with Access databases only.,database
PDM, IBM PC desktop management tool., PDM: Project Management Desk Software.,/
PDM, Data model file format standard., Use with PowerDesigner modeling tool.,/
PDM, Project Data Management Template file., Visual Studio Projects PDM Extension.,/
PDN, Portable Network Graphics image file., Use PDN for Image Editing.,image
PDS, Platform Description Specification, PALASM language.,/
PDS, Planetary Data System (PDS) standard format., Geospatial data management and sharing.,database
PEM, Text-based PKI certificate file format., Use PEM for SSL/TLS certificates.,/
pet, Puppy Linux distribution package manager., Use Puppy Linux portable edition.,/
PFA, PostScript font file format., Adobe Illustrator or Photoshop.,font
PFA, PostScript type 3 font format., Use PFA in Adobe Illustrator.,svg
PFAM, Protein Family Database Format Extension., Use PFAM for protein family analysis.,/
PFB, Adobe PostScript Font Format., Adobe Type Manager postscript extension.,postscript
PFC, AOL PFC is a profile manager., Use PFC with AOL clients.,/
PFM, Font metric file format used., Use PFM with Adobe Acrobat.,pdf
PFM, Type 1 Font Metric File., Use with Adobe Illustrator fonts.,font
PGN, Standardized text notation for chess., Use PGN in Chess Software.,chess
PFX, Microsoft Encrypted Certificate File Extension., Use PFX for digital certificates.,/
PHF, Donarius Database File Format Specification., Use PHF with Donarius database.,database
PHN, 3D physics simulation engine plugin., Use PHN with Blender.,3d
PHP, Server-side scripting language., File inclusion vulnerability scanner tool.,php
PHP3, A PHP3 compatibility layer script., Use with PHP 3.x versions.,php
PHP4, PHP4 executable file format., Editing PHP 4 code files.,php
PHR, PHR: Phrases, LocoScript,/
PHY, Phylogenetic Information Format (PIF) file., Use with Phyllip model builder.,/
PHZ, Algodoo physics engine modifier., Algodoo physics engine plugin.,/
PI2, High-resolution encrypted image file format., Use with Portrait Innovations Studio2 software.,image
PIE, GlovePIE is an open-source editor., Use PIE for Linux exploits.,text
PIR, PIR is Pseudoinverse Format., Use PIR for plagiarism detection.,/
PIT, PACKIT compressed Mac file format., Use PIT for .pkit archives.,archive
PIT, Tool for Odin Android Partition., Use PIT with Odin 3 Samsung.,/
PK3, Game data file format Quake III., Use PK3 with Quake III game.,/
PKL, Python Object Serialization Format., Use with Python,python
PKA, Adobe Acrobat PDF Archive Extension., Use PKA with Microsoft Outlook.,email
PL, Plain text programming language file., Use Perl interpreter in PL mode.,/
PL, Lisp-like family of programming languages., Use with Prolog source files.,/
PL, Astrometry Reduction Image Archive Format., Use PL/Sysop for astronomical data.,/
PLI, Programming Language Interface Extension., Use PLI/PL/I compiler for COBOL source files.,/
PLR, Character File Format by Terraria., Terraria character save file format.,/
PLS, Shoutcast PLS multimedia playlist format., Use PLS files with Shoutcast/IceCast servers.,/
PM, Perl Module File Extension., Program Management in Perl Modules.,/
PMA, Portable Metadata Archiving (PMA) system., Using PMA for PDF Archiving.,pdf
PMP, Penguin Mod Project Manager Extension., Use PMP in Sublime Text.,text
PNG, Raster graphics image file format., Use for web image files.,image
POM, Apache Maven Project Object Model., Use it for Apache Maven.,/
PPEG, PPEG: Parsimonious Parser Generator Language., Use PPEG for grammar parsing.,image
PPTX, PowerPoint presentation file format., Use PPTX for Microsoft PowerPoint.,ppt
PPSX, PowerPoint Show file format., Use PPSX for MS PowerPoint presentations.,ppt
PRJ, Extracts and imports SVN project information., Use with Unix-based development environments.,/
PROPERTIES, Java Properties File Format., Properties files (.properties),java
PROTO, Protocol Buffer Message Specification Language., Use PROTO for protocol buffer definition.,/
PRP, Plasma Registration and Documentation System., Use PRP in Adobe Photoshop.,photoshop
PS, Digital document format PS file., Use PS with Adobe Illustrator.,ai
PSD, Native Adobe Photoshop image format., Use PSD with Adobe Photoshop.,photoshop
PSDC, Adobe Photoshop Cloud Document file., Use PSDC for cloud document export.,photoshop
PSM1, Windows PowerShell module PSModulePath., Use PSM1 with Windows PowerShell modules.,shell
PSPPALETTE, Color palette file for Paint Shop Pro., Use PSPPALETTE with Paint Shop Pro.,/
PST, Microsoft Office Application Data File., Microsoft Outlook PST file archive.,email
PS1, Powershell Script Extension for Windows., Use PS1 with Windows PowerShell scripts.,shell
PTF, Portion of PSP theme files., Use PTF for PSP themes.,/
PTF, A file format for Pro Tools., Use with Pro Tools 7-9 versions.,/
PTS, Digidesign Pro Tools Session File., Use Pro Tools for audio editing.,audio
PTX, Avid Pro Tools session file., Use PTX for Avid Pro Tools.,/
PUB, OpenPGP public key file format., Use with PGP encryption tool.,/
PUP, DNA sequence alignment format file., BLAST (Basic Local Alignment Search).,dna
PY, Python programming language source code., Use with Python scripts only.,python
QFX, Quicken Financial Institution File Format., Use QFX for Quicken Imports.,/
QIF, Financial transaction data file format., Importing Quicken financial data files.,database
QLC, Type 1 PostScript font format., Use QLC for Adobe font editing.,/
QOI, A lossless image compression format., Use QOI for compressed images.,image
QT, Media Player Software for QuickTime., Use for video playback applications.,video
QTVR, Apple's QuickTime VR Viewer software., Use for QuickTime VR movies.,video
R, Programming language for data analysis., Use R for data analysis.,r
R, R programming language script file., Use R for statistical analysis.,r
"R00, R01, ...", RAR archive file format extension., Use RAR file extraction tool.,archive
R2D, Program to manage relational databases., Use with Reflex 2 programming language.,/
R3D, Raw footage from Red cameras., Use R3D with Adobe Premiere.,/
R8P, IntelliType R8P PCL font file., Use R8P with Intellifont Editor.,/
RAD, FM Synth Music Software Extension., Use RAD tracker for music.,/
RAD, 3D lighting simulation software engine., Use for rendering complex scenes.,3d
RAL, Terminal Emulation Protocol Language File., Use RAL for remote access.,/
RAM, Compression filter for RealAudio files., Use RAMPlayer for RealAudio playback.,audio
RAP, Visual programming language for Rapid Prototyping, Use RAP for Business Process Modeling.,/
RAR, File compression archive format., Extracting compressed archive files with RAR.,archive
RAS, Sun Raster Graphics file format., Use with graphics applications SUN.,image
RB, Ruby Script File Extension, Use with Ruby on Rails.,ruby
RBXL, Roblox XLS file format., Use RBXL for Roblox development.,xml
RC, Remote Configuration File Editor, RCE.,/
RC, Borland Resource Compiler Script File., Use with Microsoft Visual Studio.,/
RDP, Microsoft Remote Desktop Protocol Extension., Use RDP for remote computing.,/
RDS, Relational Database System Extension., Use for relational database systems.,database
RES,  Compiled executable file format., Use RES with compiled resources.,/
"REX, REXX", IBM mainframe scripting language variant., Use for batch scripting and legacy systems.,/
RKT, Software extension for Racket programming., Use with Racket programming language.,/
RM, RealMedia format used by RealPlayer., Use RM with RealPlayer for RealMedia files.,video
RMD_, R Studio R Markdown Extension., Use RStudio for R Markdown.,r
RMVB, Video codec for RealPlayer., Viewing RMVB files with RealPlayer.,/
Rob, Robot Arena input file format., Use Rob for RobotSim Toolkit.,/
ROL, ROL is an AdLib plugin., Use ROL with AdLib plugins.,/
RPM, Red Hat Package Manager software., Use RPM for Red Hat Linux.,archive
RS, Language Server Protocol for Rust., Use Rust compiler flag -R.,/
RSA, Harwell-Boeing matrix format., HSL/PAStoR (Harwell Sparse Matrix Library),/
"RSL, RSLS, RSLF", Resilio Sync file placeholders version., Use with Resilio Sync files.,/
RST, Documentation format for Python reStructuredText., Use RST with Sphinx documentation.,python
RTF, Rich Text Format document., Use RTF for document formatting.,text
RUA, RSA algorithm variant implementation., Use RUA for encryption purposes.,/
RUN, Runs Ampl script files command., Ampl run statement for execution.,/
RUN, Self-extracting archive tool runner., 7-Zip's RUN command for extraction.,archive
S, File extension for Assembler code., S is typically used for NASM.,/
S3M, Modular tracker music format software., Use S3M with Scream Tracker.,audio
S7I, Seed7 compiler and interpreter tool., Use Seed7 with S7I Extension.,/
SAIF, Digital format for geographic archives., Use SAIF for spatial data exchange.,archive
SASS, Indented CSS preprocessor language., Use SASS for CSS pre-processing.,css
SAT, SAT solver for ACIS., Use for SAT-based constraint satisfaction.,/
SAV, Binary format for statistical tables., Use SAV with SPSS or PSPP.,database
SB, Basic Scratch Blocks programming tool., Use SB for Scratch projects.,/
SB2, Scratch 2.0 programming language tutorial., Use SB2 for Scratch projects.,/
SB3, A Scratch 3.0 educational extension., Use SB3 for Scratch projects.,/
SBH, Software Build Helper extension script., Use SBH in GameMaker Studio.,/
SBV, SBV: Superbase Database Management System Extension., Use SBV for Superbase RDBMS.,database
SBX, SBX: Scratch Extension Framework Library., Use SBX for Scratch Extensions.,/
SCALA, Extension for Scala programming language., Use SCALA for Scala projects.,/
SCM, Source code file for Scheme., Use SCM with Scheme files.,/
SCR, Windows screen protector file format., Use SCR with Windows XP.,/
SCSS, Sass Preprocessor CSS Language Extension., Use SCSS for CSS preprocessing.,css
SDF, Compact Database File Format Microsoft., Use SDF with Microsoft SQL Server Compact.,database
SD7, Language extension for Seed7 programming., Use for Seed7 programming language projects.,/
SDS, Hyperdimensional data structure technique., Spatial Data Structures (SDS) software.,/
SDTS, Format for exchanging spatial data., Use SDTS for GIS data transfer.,/
SEC, Pretty Good Privacy RSA File., Use RSA with Secret Key.,/
SED, IExpress file format specification., Use for self-extracting archives files.,archive
SEQ, Tiertex Video Sequence Format., Use SEQ for Tiertex video sequences.,video
SERIES, Series Distiller encryption library module., Series Distiller for encrypted data.,/
SF, Java Application Signing Extension., Use SF for JAR file signing.,java
SFB, Emacs SFB Configuration File Handler., Use for Emacs Configuration Files.,/
SFH, Backup file for Strike Force Heroes., Use SFH for Strike Force Heroes.,/
SFX, Self-extracting archive and compression tool., Extract RAR and ZIP files.,archive
SH, Scripting language for Unix systems., Use in Unix Shell Scripting.,shell
SHAR, Self-extracting archives with Unix support., Use SHAR for Unix archives.,archive
SHTM, Server-Side Included HTML Template File., Use SHTM with Server Side Includes.,html
SHTML, HTML file with server-side includes., Use with SSI (Server Side Includes) enabled files on a web server.,html
SHX, AutoCAD Shape Entity File Format., Use SHX for AutoCAD shapes.,cad
SIC, Symbolic Instruction Code for Assembly., Use SIC for 8-bit assembly languages.,/
SIG, GPG signature verification tool plugin., Use with GPG for secure signing.,/
SL, Source language for S-Lang scripts., S-Lang is used for scripting.,/
SLDASM, SolidWorks Assembly Viewer Extension., Use SLDASM for SolidWorks assemblies.,solidworks
SLDPRT, SolidWorks Part Property Template Extension., Use SLDPRT in SolidWorks.,solidworks
SM, Smalltalk source code file format., Use with Smalltalk programming language.,/
SMCLVL, Add-on for Secret Maryo Chronicles., Use SMCLVL with Secret Maryo.,/
SMK, Video editing software Smacker., Use Smacker video player extension.,/
SNO, Programming language SNOBOL script editor., Use SNO extension with SNOBOL4.,/
SO, Unix Shared Object File Format., Use SO on Unix/Linux systems.,/
SPF, Standard Portable File format., Use SPF for email authentication.,email
SPIFF, Still picture image file format., Use SPIFF for still image.,image
SPIN, Parallax Propeller Microcontroller Development Tool., Use SPIN for Propeller development.,/
SPS, Statistical Package for Social Sciences., Use PSPP for statistical analysis.,/
SPT, Spitbol Programming Language Source File., Use SPT for SPITBOL source.,/
SPV, Spiral-Vulkan executable file format standard., Use SPV with Vulkan GPU driver.,/
SPX, Audio codec from Xiph.Org Foundation., Use Speex Audio Codec Extension.,audio
SPZ, Crestron SIMPL Windows application executable., Use SPZ for Crestron SimplView.,/
SQL, Standard language for databases., Use in any relational databases.,database
SRT, SubRip subtitle format extension., Use SRT with most media players.,/
SRX, Series Distiller XML file format., Series Distiller Update File Manager.,/
SSC, Celestia Solar System Database File., Use with Celestia Space Simulator.,database
SSC, Script for Stellarium planet simulations., Use SSC with Stellarium astronomy.,/
ST, Smalltalk source code file extension., Use ST for Smalltalk development.,/
ST, Structured Text file extension., Use with IBM z/OS MVS.,text
STC, File format for Celestia catalogs., Celestia Plugin for Celestia Software.,/
STC, OpenOffice Calc spreadsheet template file., Use STC with OpenOffice Calc.,/
STD, Template file for OpenOffice Draw., Use OpenOffice Draw extension.,/
STEP, ISO standard for product data exchange., Use STEP for CAD data exchange.,cad
STI, Template for OpenOffice Impress presentations., Use STI with OpenOffice Impress.,ppt
STK, Software for biosequence multiple alignment., Use STK for multiple sequence alignment.,/
STL, Standardized Tool Language for 3D modeling., Use STL for 3D printing models.,3d
STM, Template for Server-Side Inclusion., Use with SSI (Server-Side Includes) files.,/
STO, Multiple Sequence Alignment Tool Extension., Use STO for Bioinformatics multiple alignment.,/
STORY, AOL Instant Messenger Story Filter Extension., Use STORY for data anonymization.,/
STP, Data exchange standard for CAD., Use STP with CAD software.,cad
STW, Template for OpenOffice Writer documents., Use STW add-on in OpenOffice Writer.,/
STX, XML-based script for Story Distiller., Adobe Story (formerly known as StoryDistiller).,xml
SUR, Digital elevation model terrain dataset., Use SUR in QGIS Terrain.,database
SVC, ServiceHost process identifier., Use with IIS (Internet Services).,/
SVELTE, Svelte: A Svelte compiler extension., Use SVELTE for Svelte Source Code.,/
SVG, Two-dimensional graphics vector format., Use for vector graphics design.,svg
SWF, Portable file format for animations., Use SWF for Flash files.,video
SWG, Software Development with Interface Generator., Generate C++ interface from SWIG.,/
SWIFT, Programming Language for Apple Devices, Use SWIFT for Apple development.,swift
SWM, Windows Imaging Format (WIM) file system., Use SWM for Windows Imaging Format.,image
SXC, OpenOffice org XML spreadsheet file., Use SXC with OpenOffice Calc.,/
SXD, OpenOffice Draw file extension., Use SXD with OpenOffice Draw.,/
SXG, OpenOffice.org Master Document Format., Use SXG with OpenOffice.,/
SXI, OpenOffice Presentation Format Extension., Use SXI with OpenOffice.,ppt
SXM, OpenOffice Calc formula extension., Use SXM for OpenOffice formulas.,/
SXP, 3ds Max Scene File Extension., Use with Autodesk 3ds Max.,/
SXW, OpenOffice Writer text document., Use SXW for OpenOffice documents.,text
SYLK, SYLK is a Windows file format., Use SYLK for Windows links.,/
SYMBOLICLINK, Replaces files with symbolic links., Use on Unix-like operating systems.,/
TAK, TAK Audio Codec Lossless Format, Use TAK with Winamp or foobar2000.,audio
TAR, Tarball file archive manager software., Use TAR with Unix-like systems.,archive
TAZ, Archive file system extension TAZ., Use for .tar.gz archives only.,archive
TB2, TB2: tarball format for Bzip2., Use TB2 for Bzip2 archives.,archive
TBZ, The file extension TBZ is RAR archive., Use TBZ for ZIP archives.,archive
TBZ2, The TBZ2 format is archive., Use on Mozilla Firefox browser.,archive
TC, Saturn CMS theme color settings., Use TC for Saturn CMS theme.,/
TER, Open-source terragen scenery generator., Terragen Scenery Generator Extension.,/
TEX, LaTeX document file format., Use TEX with LaTeX documents.,latex
TGA, Truevision TGA raster graphics format., Use with graphics editing software.,image
TGT, Windows Defender Target Configuration File., Use TGT with Symantec Endpoint.,/
TGZ, compressed tarball file format., Use TGZ for Compressed Archives.,archive
THM, Thumbs.db GoPro Photo File Format., Adobe Lightroom Mobile Extension.,image
TIF, Tagged Image File Format., Adobe Acrobat Reader supports TIF.,image
TIFF, Image file format standard technology., Use TIFF for image editing.,image
TLB, Binary data for COM objects., Use TLB for COM components.,/
TLZ, Supports tar, 7z,archive
TMP, Microsoft Windows Temporary File Extension., Use for temporary file storage.,/
TORRENT, Peer-to-peer file sharing protocol., Use for P2P file sharing downloads.,torrent
TS, MPEG transport stream file format., Use TS with FFmpeg for video processing.,/
TS, TypeScript compiler extension for IDEs., Use TS with TypeScript language.,ts
TSCN, Godot Text Scene Container File., Use TSCN in Godot scenes.,/
TSV, Text file format for tabbed data., Use TSV for tab-separated data.,database
TTC, TrueType Collection Editor Extension., Use with TrueType fonts editor.,font
TTF, TrueType Font File Format., Adobe Illustrator or InDesign.,font
TXZ, Compression format for tar archives., Use TXZ for bzip2 archives.,archive
TZ2, Short for Telex Transmission Zone., TZ2 stands for TallyBot Zone 2,/
TZST, Compressed tar file format., Use with tar archives compressed Zstd.,archive
UI, GeoWorks UI Compiler Source File., Geoworks UI Compiler for Geos.,/
UI, XML file for user interface., Use UI file in Qt Designer.,xml
UMP, Standardized UML programming language format., Use Umple for UML coding.,/
UNV, UNV is a neutral format., ASPERA or similar CAD systems.,cad
UOS, Excel add-in for uniform formatting., Use UOS with LibreOffice Calc.,excel
UOT, Text file format for documents., Use in Microsoft Word documents.,text
UPD, Updates PowerShell Data Extensions., For updating files on NAS systems.,/
UPS, Bootable partition manager for DOS., Linux kernel patch management system.,/
URL, Launches Remote files using URL., Use it as remote file access.,url
USDZ, 3D model file for AR scenes., Use USDZ for AR modeling.,3d
UST, Utatune song format for Utau., Use UST with UTau software.,/
USTX, OpenUtau vocal synthesis tracks., Use USTX with OpenUtau.,/
UT!, uTorrent data file extention indicator., Use with uTorrent on PC.,torrent
UXF, UML Extension for Formal Modeling., Use for UML diagram exchange.,/
V, Vista Coq source language compiler., Use V in Coq proof.,/
V, Verilog source code editor extension., Use for Verilog source files.,/
V3, Victoria III Save Game Importer Extension., Victoria 3 Save Game Converter.,/
V4P, Visual4Players, mod for Half-Life 2.,/
V64, N64 ROM image emulator software., Use with Project 64 emulator.,image
VB, Files compiled with Visual Basic .NET compiler., Use it for VB.NET source code.,basic
VBOX, VirtualBox configuration XML file extension., Use VBOX for Virtual Machines.,/
VBOX-EXTPACK, VirtualBox Extension Package for Virtualization., Use VBOX-EXTPACK for VirtualBox extensions.,/
VBPROJ, Visual Basic .Net project file., Use for converting VB.NET projects.,net
VBR, Visual Basic Custom Control file., Use with Visual Studio projects.,basic
VBS, Visual Basic Scripting Extension file., Use VBS for Windows scripting.,basic
VBX, Microsoft Visual Basic Extension Module., Use VBX with Visual Basic.,basic
VC, VeraCrypt disk encryption software extension., Use VC for disk encryption.,/
VC6, Autodesk Ashlar-Vellum Graphics Extension., Ashlar-Vellum 7.x CAD add-on.,cad
VCLS, VCLA Plugin for Vocaloid3., Use VCLS for Vocaloid playback.,/
VDA, Visual Data Acquisition software., Targa Video Display Adapter (VDA).,/
VDI, Remote desktop virtualization technology., Use VDI for VirtualBox imaging.,/
VDW, Visual Designer for Microsoft Visio., Use VDW with Visio Web Draw.,/
VDX, Extension for Microsoft Visio drawings., Use VDX for Microsoft Visio.,visio
VFD, Microsoft Windows Virtual Floppy Disk., Use VFD for virtual floppy disk access.,/
VI, LabVIEW Virtual Instrument Tool., Use VI (Virtual Instrument) in LabVIEW.,/
VMCZ, Hyper-V Exported Virtual Machine Extension., Use with Hyper-V and VMware.,/
VMDK, Virtual Machine Disk File Format., Use VMDK with VMware products.,/
VMG, Nokia Text Message Editor Format., Use VMG with Nokia messages.,/
VOB, Container format for DVD video., Use VOB for DVD playback.,/
VMX, VMX is VMware virtualization config file., Use VMX with VMware virtual machines.,vmware
VPK, Valve Package for Source Games., Use VPK with Source Engine games.,/
VPM, Garmin VPM Voice Processing Module., Garmin Vivosport GPS Watch Unit.,/
VPP, Visual Paradigm Project for UML., Use VPP for UML modeling.,/
VPR, Vocal Synthesizer Track Format., Ardorable VPR plugin for Vocaloid.,/
VQM, VHDL-like hardware description language., Use VQM for FPGA design verification.,/
VRB, Beamer document with verbatim., Use in LaTeX document editor.,latex
VRB, Veeam Backup and Replication., Use VRB with Veeam Backup.,/
VS, Computer-aided design and drafting software., Use Ashlar-Vellum for architectural rendering.,/
